,store_code,Nouvelle_Région
0,B111,Grand-Est
2,BVAD,Grand-Est
11,B630,Grand-Est
13,B862,Grand-Est
16,B131,Grand-Est
31,B657,Grand-Est
33,B858,Grand-Est
57,B723,Grand-Est
58,B602,Grand-Est
63,B615,Grand-Est
69,B714,Grand-Est
114,B728,Grand-Est
119,B323,Grand-Est
134,B124,Grand-Est
155,B702,Grand-Est
165,B148,Grand-Est
169,B140,Grand-Est
170,B021,Grand-Est
172,B664,Grand-Est
174,B103,Grand-Est
204,B016,Grand-Est
217,B589,Grand-Est
223,B588,Grand-Est
237,B783,Grand-Est
269,B000,Grand-Est
289,B773,Grand-Est
290,B681,Grand-Est
294,B857,Grand-Est
330,B143,Grand-Est
350,B749,Grand-Est
377,B099,Grand-Est
388,B742,Grand-Est
443,B648,Grand-Est
448,B136,Grand-Est
466,B139,Grand-Est
496,B105,Grand-Est
502,B771,Grand-Est
558,B144,Grand-Est
566,B859,Grand-Est
592,B706,Grand-Est
606,B694,Grand-Est
685,B005,Grand-Est
712,B764,Grand-Est
766,B765,Grand-Est
769,B725,Grand-Est
772,B718,Grand-Est
806,B147,Grand-Est
810,B667,Grand-Est
946,B689,Grand-Est
1125,B861,Grand-Est
1137,B713,Grand-Est
1138,B051,Grand-Est
1151,B797,Grand-Est
1175,B132,Grand-Est
1178,B635,Grand-Est
1190,B617,Grand-Est
1251,B747,Grand-Est
1280,B738,Grand-Est
1309,B860,Grand-Est
1376,B121,Grand-Est
1460,B013,Grand-Est
1484,B856,Grand-Est
1632,B047,Grand-Est
1636,B874,Grand-Est
1871,B735,Grand-Est
1906,B748,Grand-Est
1918,B774,Grand-Est
1949,B684,Grand-Est
1951,B778,Grand-Est
1957,B731,Grand-Est
1999,B716,Grand-Est
2042,B750,Grand-Est
2045,B135,Grand-Est
2089,B753,Grand-Est
2090,B593,Grand-Est
2103,B737,Grand-Est
2120,B126,Grand-Est
2121,B621,Grand-Est
2141,B782,Grand-Est
2148,B666,Grand-Est
2152,B752,Grand-Est
2154,B776,Grand-Est
2171,B654,Grand-Est
2173,B330,Grand-Est
2185,B793,Grand-Est
2190,B688,Grand-Est
2223,B644,Grand-Est
2227,B539,Grand-Est
2319,B133,Grand-Est
2330,B703,Grand-Est
2358,B871,Grand-Est
2412,B634,Grand-Est
2419,B659,Grand-Est
2432,B711,Grand-Est
2460,B129,Grand-Est
2513,B338,Grand-Est
2532,B034,Grand-Est
2543,B710,Grand-Est
2553,B583,Grand-Est
2590,B692,Grand-Est
2811,B756,Grand-Est
2819,B746,Grand-Est
2830,B592,Grand-Est
2836,B018,Grand-Est
2853,B671,Grand-Est
2857,B009,Grand-Est
2889,B751,Grand-Est
2916,B866,Grand-Est
2930,B767,Grand-Est
2947,B504,Grand-Est
2993,B640,Grand-Est
3122,B091,Grand-Est
3173,B701,Grand-Est
3429,B660,Grand-Est
3442,B705,Grand-Est
3489,B127,Grand-Est
3589,B145,Grand-Est
3648,B065,Grand-Est
3727,B679,Grand-Est
3811,B106,Grand-Est
3859,B730,Grand-Est
3870,B698,Grand-Est
3871,B720,Grand-Est
3873,B724,Grand-Est
3878,B141,Grand-Est
3995,B791,Grand-Est
4011,B786,Grand-Est
4034,B015,Grand-Est
4114,B727,Grand-Est
4129,B709,Grand-Est
4161,B019,Grand-Est
4208,B687,Grand-Est
4228,B758,Grand-Est
4376,B006,Grand-Est
4384,B030,Grand-Est
4409,B790,Grand-Est
4428,B150,Grand-Est
4438,B699,Grand-Est
4481,B789,Grand-Est
4505,B652,Grand-Est
4616,B611,Grand-Est
4621,B120,Grand-Est
4853,B616,Grand-Est
4898,B707,Grand-Est
4922,B787,Grand-Est
4941,B637,Grand-Est
4950,B754,Grand-Est
4958,B757,Grand-Est
5014,B643,Grand-Est
5082,B619,Grand-Est
5098,B054,Grand-Est
5101,B875,Grand-Est
5128,B777,Grand-Est
5188,B090,Grand-Est
5210,B004,Grand-Est
5328,B192,Grand-Est
5356,B768,Grand-Est
5357,B772,Grand-Est
5385,B665,Grand-Est
5406,B760,Grand-Est
5432,B693,Grand-Est
5441,B032,Grand-Est
5445,B609,Grand-Est
5542,B745,Grand-Est
5551,B629,Grand-Est
5584,B656,Grand-Est
5703,B551,Grand-Est
5730,B605,Grand-Est
5806,B876,Grand-Est
5837,B676,Grand-Est
5839,B646,Grand-Est
5868,B108,Grand-Est
5893,B674,Grand-Est
5922,B137,Grand-Est
5934,B741,Grand-Est
6007,B781,Grand-Est
6039,B744,Grand-Est
6045,B331,Grand-Est
6059,B715,Grand-Est
6103,B096,Grand-Est
6122,B089,Grand-Est
6161,B769,Grand-Est
6301,B870,Grand-Est
6355,B719,Grand-Est
6398,B642,Grand-Est
6481,B675,Grand-Est
6519,B785,Grand-Est
6540,B779,Grand-Est
6637,B780,Grand-Est
6737,B107,Grand-Est
6926,B734,Grand-Est
6953,B863,Grand-Est
6983,B651,Grand-Est
7070,B519,Provence-Alpes-Côte d'Azur
7073,B645,Provence-Alpes-Côte d'Azur
7076,B739,Provence-Alpes-Côte d'Azur
7091,B638,Provence-Alpes-Côte d'Azur
7112,B048,Provence-Alpes-Côte d'Azur
7217,B288,Provence-Alpes-Côte d'Azur
7224,B118,Provence-Alpes-Côte d'Azur
7232,B075,Provence-Alpes-Côte d'Azur
7317,B050,Provence-Alpes-Côte d'Azur
7331,B012,Provence-Alpes-Côte d'Azur
7359,B770,Provence-Alpes-Côte d'Azur
7410,B614,Provence-Alpes-Côte d'Azur
7483,B505,Provence-Alpes-Côte d'Azur
7927,B717,Provence-Alpes-Côte d'Azur
7929,B138,Provence-Alpes-Côte d'Azur
7931,B022,Provence-Alpes-Côte d'Azur
7953,B142,Provence-Alpes-Côte d'Azur
7977,B661,Provence-Alpes-Côte d'Azur
8032,B417,Provence-Alpes-Côte d'Azur
8137,B595,Provence-Alpes-Côte d'Azur
8247,B869,Provence-Alpes-Côte d'Azur
8303,B535,Provence-Alpes-Côte d'Azur
8529,B740,Provence-Alpes-Côte d'Azur
8944,B732,Provence-Alpes-Côte d'Azur
8974,B084,Provence-Alpes-Côte d'Azur
9004,B726,Provence-Alpes-Côte d'Azur
9054,B690,Provence-Alpes-Côte d'Azur
9137,B798,Provence-Alpes-Côte d'Azur
9210,B795,Provence-Alpes-Côte d'Azur
9238,B722,Provence-Alpes-Côte d'Azur
9415,B291,Provence-Alpes-Côte d'Azur
9456,B864,Provence-Alpes-Côte d'Azur
9655,B584,Provence-Alpes-Côte d'Azur
9690,B736,Provence-Alpes-Côte d'Azur
9772,B743,Provence-Alpes-Côte d'Azur
9814,B049,Provence-Alpes-Côte d'Azur
9849,B662,Provence-Alpes-Côte d'Azur
9988,B708,Provence-Alpes-Côte d'Azur
10029,B655,Provence-Alpes-Côte d'Azur
10125,B865,Provence-Alpes-Côte d'Azur
10183,B036,Provence-Alpes-Côte d'Azur
10255,B608,Provence-Alpes-Côte d'Azur
10575,B561,Provence-Alpes-Côte d'Azur
10666,B134,Provence-Alpes-Côte d'Azur
10721,B673,Provence-Alpes-Côte d'Azur
10775,B721,Provence-Alpes-Côte d'Azur
10789,B733,Provence-Alpes-Côte d'Azur
12023,B601,Provence-Alpes-Côte d'Azur
12078,B146,Provence-Alpes-Côte d'Azur
12588,B292,Provence-Alpes-Côte d'Azur
12778,B512,Provence-Alpes-Côte d'Azur
12878,B682,Provence-Alpes-Côte d'Azur
12881,B335,Provence-Alpes-Côte d'Azur
12942,B704,Provence-Alpes-Côte d'Azur
13286,B577,Provence-Alpes-Côte d'Azur
13439,B122,Provence-Alpes-Côte d'Azur
13465,B545,Provence-Alpes-Côte d'Azur
13524,B788,Provence-Alpes-Côte d'Azur
13534,B647,Provence-Alpes-Côte d'Azur
13619,B669,Provence-Alpes-Côte d'Azur
14300,B696,Provence-Alpes-Côte d'Azur
14320,B695,Provence-Alpes-Côte d'Azur
15492,B761,Provence-Alpes-Côte d'Azur
15660,B038,Provence-Alpes-Côte d'Azur
16145,B794,Provence-Alpes-Côte d'Azur
16169,B287,Provence-Alpes-Côte d'Azur
16308,B792,Provence-Alpes-Côte d'Azur
16640,B014,Provence-Alpes-Côte d'Azur
16809,B028,Provence-Alpes-Côte d'Azur
16881,B409,Provence-Alpes-Côte d'Azur
17094,B697,Provence-Alpes-Côte d'Azur
17312,B873,Provence-Alpes-Côte d'Azur
17708,B658,Provence-Alpes-Côte d'Azur
17818,B670,Provence-Alpes-Côte d'Azur
17882,B796,Provence-Alpes-Côte d'Azur
17937,B799,Provence-Alpes-Côte d'Azur
19148,B691,Provence-Alpes-Côte d'Azur
19426,B763,Provence-Alpes-Côte d'Azur
19953,B759,Provence-Alpes-Côte d'Azur
19989,B683,Provence-Alpes-Côte d'Azur
20107,B319,Provence-Alpes-Côte d'Azur
20852,B686,Provence-Alpes-Côte d'Azur
21280,B333,Provence-Alpes-Côte d'Azur
21767,B775,Provence-Alpes-Côte d'Azur
22214,B339,Provence-Alpes-Côte d'Azur
24599,B677,Provence-Alpes-Côte d'Azur
25685,B672,Provence-Alpes-Côte d'Azur
25846,B641,Provence-Alpes-Côte d'Azur
26454,B729,Provence-Alpes-Côte d'Azur
29471,B632,Normandie
29622,B552,Normandie
30761,B685,Normandie
31520,B415,Auvergne-Rhône-Alpes
34087,B612,Auvergne-Rhône-Alpes
34879,B582,Auvergne-Rhône-Alpes
35044,B557,Auvergne-Rhône-Alpes
37890,B193,Auvergne-Rhône-Alpes
39874,B035,Auvergne-Rhône-Alpes
42545,B272,Auvergne-Rhône-Alpes
43346,B179,Auvergne-Rhône-Alpes
45696,B433,Auvergne-Rhône-Alpes
46494,B411,Auvergne-Rhône-Alpes
49144,B581,Auvergne-Rhône-Alpes
55796,B868,Auvergne-Rhône-Alpes
56401,B289,Auvergne-Rhône-Alpes
56945,B680,Auvergne-Rhône-Alpes
61219,B178,Auvergne-Rhône-Alpes
62296,B410,Auvergne-Rhône-Alpes
62876,B299,Auvergne-Rhône-Alpes
62974,B977,Auvergne-Rhône-Alpes
66437,B337,Auvergne-Rhône-Alpes
71637,B119,Auvergne-Rhône-Alpes
76904,B130,Auvergne-Rhône-Alpes
84444,B636,Normandie
84808,B176,Normandie
86767,B579,Nouvelle-Aquitaine
89112,B281,Nouvelle-Aquitaine
94408,B104,Auvergne-Rhône-Alpes
94656,B587,Auvergne-Rhône-Alpes
95596,B429,Auvergne-Rhône-Alpes
98908,B290,Auvergne-Rhône-Alpes
101713,B298,Ile-de-France
105552,B562,Ile-de-France
107104,B613,Ile-de-France
108549,B295,Ile-de-France
108923,B529,Ile-de-France
110460,B063,Ile-de-France
111485,B274,Ile-de-France
118088,B277,Ile-de-France
118958,B413,Ile-de-France
128241,B472,Ile-de-France
139101,B042,Ile-de-France
141082,B304,Ile-de-France
142055,B600,Ile-de-France
142468,B564,Ile-de-France
147087,B336,Ile-de-France
148796,B284,Ile-de-France
150614,B282,Ile-de-France
153060,B432,Ile-de-France
154333,B426,Provence-Alpes-Côte d'Azur
161471,B114,Provence-Alpes-Côte d'Azur
162064,B815,Provence-Alpes-Côte d'Azur
165307,B440,Provence-Alpes-Côte d'Azur
180228,B957,Provence-Alpes-Côte d'Azur
183732,B474,Provence-Alpes-Côte d'Azur
187980,B159,Provence-Alpes-Côte d'Azur
193973,B332,Hauts-de-France
199149,B345,Hauts-de-France
207878,B631,Hauts-de-France
223047,B223,Nouvelle-Aquitaine
226584,B821,Nouvelle-Aquitaine
227077,B423,Nouvelle-Aquitaine
227725,B590,Nouvelle-Aquitaine
227863,B560,Nouvelle-Aquitaine
234977,B663,Nouvelle-Aquitaine
237916,B438,Nouvelle-Aquitaine
250232,B596,Nouvelle-Aquitaine
253582,B435,Ile-de-France
255274,B407,Ile-de-France
268435,B416,Ile-de-France
278379,B462,Ile-de-France
279032,B477,Ile-de-France
282757,B563,Ile-de-France
286195,B607,Ile-de-France
286877,B275,Ile-de-France
290062,B460,Ile-de-France
305969,B280,Ile-de-France
307322,B422,Ile-de-France
343665,B184,Ile-de-France
352388,B823,Ile-de-France
367085,B530,Ile-de-France
389047,B285,Ile-de-France
390612,B083,Ile-de-France
392835,B342,Ile-de-France
394067,B278,Ile-de-France
402483,B086,Ile-de-France
429521,B220,Ile-de-France
449719,B811,Aucune
453367,B418,Aucune
497609,B343,Aucune
499968,B224,Aucune
511742,B276,Aucune
517135,B320,Aucune
521997,B428,Aucune
524497,B073,Aucune
545477,B424,Pays-de-la-Loire
616072,B439,Bretagne
665406,B322,Nouvelle-Aquitaine
667244,B829,Nouvelle-Aquitaine
672028,B569,Centre-Val de Loire
687755,B431,Pays-de-la-Loire
768806,B497,Nouvelle-Aquitaine
821291,B425,Auvergne-Rhône-Alpes
831694,B441,Grand-Est
845718,B436,Occitanie
856583,B437,Centre-Val de Loire
857729,B818,Centre-Val de Loire
867754,B087,Grand-Est
877817,B166,Bretagne
936791,B430,Occitanie
971441,B828,Provence-Alpes-Côte d'Azur
972946,B419,Provence-Alpes-Côte d'Azur
1048147,B447,Occitanie
1131826,B807,Hauts-de-France
